A,B,C,D,E,F,G,H,I
0.178942023,0.063996381,0.035235355,0.258670388,0.013303805,0.090070939,0.151579228,0.048744559,0.159457324
0.143722664,0.197670627,0.041100285,0.126358927,0.096615223,0.071160363,0.154535834,0.088992105,0.079843974
0.237131965,0.141249493,0.064118716,0.064638512,0.050070918,0.015734093,0.261115782,0.064129305,0.101811217
0.081008329,0.131287953,0.070695201,0.084544789,0.152616902,0.098198696,0.06710634,0.14459799,0.169943801
0.105780704,0.342616329,0.055643512,0.19926596,0.138844007,0.046573665,0.02469499,0.032488086,0.054092747
0.214268602,0.018076926,0.135283231,0.193621334,0.021349499,0.158617574,0.095244572,0.121544997,0.041993265
0.237329214,0.19047281,0.069558196,0.102867379,0.042971498,0.109581533,0.118026067,0.046011689,0.083181614
0.136930019,0.061951239,0.013989046,0.223380112,0.071057741,0.07832468,0.240829414,0.138698154,0.034839595
0.186572756,0.123643121,0.155978755,0.19836663,0.106826095,0.060188798,0.032319715,0.121204221,0.014899908
0.099841957,0.095331268,0.14479391,0.080955313,0.152749877,0.063539975,0.176891093,0.000992037,0.18490457
0.145969035,0.123144948,0.046937066,0.121195135,0.106283244,0.188806914,0.005076895,0.168619634,0.093967128
0.079459512,0.054449109,0.142746844,0.200064733,0.060751792,0.088711452,0.0673334,0.090433405,0.216049752
0.079984098,0.037579988,0.049122871,0.206451375,0.019392519,0.177657395,0.152201619,0.187846036,0.089764099
0.027818593,0.194191593,0.051887641,0.133122789,0.236658431,0.050625122,0.065849103,0.204522739,0.03532399
0.204450169,0.016981157,0.109295475,0.154798835,0.105149189,0.05791632,0.061523734,0.192017531,0.09786759
0.211255783,0.174271442,0.13017688,0.034702557,0.029447573,0.142889478,0.199752394,0.049520449,0.027983444
0.137043921,0.177648115,0.040640717,0.009410437,0.128015023,0.159436665,0.195678276,0.102852701,0.049274144
0.05459965,0.184272039,0.113558938,0.236336598,0.000475652,0.080121462,0.13100992,0.192492677,0.007133064
0.13198805,0.028444098,0.133297973,0.074415155,0.070272197,0.030115766,0.219657213,0.09524746,0.216562087
0.113350221,0.161740002,0.037865407,0.082698287,0.031802155,0.114672307,0.14481245,0.215380795,0.097678376
0.077477551,0.007626948,0.167896462,0.005331342,0.174974649,0.141526066,0.126155577,0.170068536,0.128942869
0.157856864,0.00672326,0.095200469,0.043684404,0.193401819,0.183136952,0.122606438,0.130260281,0.067129513
0.086429901,0.096183429,0.0815186,0.178531982,0.024082439,0.081473226,0.190184578,0.070219735,0.19137611
0.157489467,0.064183471,0.1298206,0.149909323,0.1587706,0.122469946,0.089551652,0.099623862,0.028181079
0.116508462,0.196575621,0.116807244,0.19876652,0.163655547,0.051483503,0.011291998,0.027707119,0.117203986
0.103407834,0.134102267,0.003979972,0.209330969,0.166779571,0.000815269,0.104129335,0.14944297,0.128011814
0.101016248,0.166408912,0.111256235,0.149184206,0.002456398,0.023725613,0.115954071,0.175311916,0.1546864
0.111564928,0.115616063,0.165856644,0.115642213,0.152845722,0.086717436,0.076484635,0.06793234,0.107340018
0.077068771,0.018758297,0.144488257,0.180524594,0.106492615,0.216816624,0.019390367,0.118580158,0.117880317
0.062070532,0.06231205,0.180481958,0.037856461,0.153127843,0.134361174,0.037850541,0.173061399,0.158878044
0.14012805,0.11090998,0.156954701,0.096369537,0.10486897,0.039035745,0.062617322,0.0588457,0.230269994
0.096787657,0.164293491,0.159181945,0.144582271,0.037548575,0.148867703,0.071170382,0.001333811,0.176234164
0.008092986,0.172701797,0.152296854,0.184089333,0.049334691,0.158246007,0.064153463,0.148106205,0.062978665
0.093326851,0.055188363,0.163906637,0.078687095,0.163213435,0.164542946,0.085660071,0.047028741,0.148445861
0.099194256,0.052965662,0.111461507,0.086297122,0.181991656,0.159531033,0.095936576,0.153454041,0.059168147
0.213269298,0.157965397,0.030026739,0.154610531,0.020123221,0.155002612,0.060400525,0.007388328,0.201213349
0.119752574,0.034906094,0.172221327,0.114768257,0.12716615,0.141807955,0.0988809,0.142376489,0.048120254
0.111803489,0.073186403,0.015461677,0.261132358,0.027577093,0.129728412,0.283973985,0.045917023,0.051219559
0.143417471,0.012099519,0.0324585,0.212878487,0.186549881,0.211254322,0.032053535,0.046997657,0.122290629
0.12987329,0.228343487,0.087734083,0.233044498,0.094551611,0.036992777,0.107301268,0.001633666,0.08052532
0.111269194,0.144764986,0.117714499,0.042769025,0.065365496,0.13411393,0.126732041,0.085641644,0.171629184
0.17627042,0.014722004,0.089970234,0.143462256,0.194272215,0.001353572,0.188940253,0.101726942,0.089282105
0.145550863,0.029048081,0.056387027,0.107288404,0.049200937,0.258107634,0.052758263,0.216441386,0.085217407
0.071107935,0.053488709,0.067639891,0.183739859,0.021642424,0.104857581,0.240040372,0.198914977,0.058568252
0.16366687,0.040716689,0.045033371,0.020369629,0.001030641,0.209942074,0.03339531,0.201125019,0.284720397
0.131984893,0.074060269,0.180804972,0.125564907,0.020302296,0.052209844,0.162105938,0.096156635,0.156810245
0.229281773,0.055502033,0.153333874,0.081037987,0.150070125,0.026102433,0.120169933,0.078448493,0.10605335
0.233708669,0.10870675,0.04341886,0.015171995,0.124526875,0.22506702,0.194517667,0.020762949,0.034119216
0.089575974,0.233806779,0.12301816,0.161150612,0.023761362,0.014461695,0.040133415,0.232156187,0.081935815
0.006216228,0.239062893,0.212427145,0.162150591,0.043044352,0.060238013,0.154276932,0.067782731,0.054801114
0.026537127,0.107921011,0.155777884,0.014982752,0.214256513,0.2274386,0.001431891,0.143164475,0.108489746
0.201691557,0.043177112,0.083370626,0.158648882,0.113684101,0.10138471,0.08838779,0.031217958,0.178437265
0.204341232,0.132869082,0.164138341,0.048509955,0.085209988,0.033848223,0.0326047,0.156718071,0.141760407
0.254549345,0.036075068,0.077108183,0.081108319,0.096089354,0.133191365,0.004625199,0.000800413,0.316452754
0.201530207,0.114668075,0.171278327,0.247718507,0.130352841,0.062934204,0.04659549,0.01942767,0.00549468
0.046772611,0.089594223,0.161604358,0.101823835,0.119370797,0.140511058,0.119081199,0.16566151,0.055580409
0.218621585,0.149701868,0.080777469,0.124450311,0.172208878,0.058409682,0.028345611,0.049551697,0.117932898
0.149128235,0.041134261,0.209698756,0.001415085,0.055074794,0.012186929,0.268995862,0.07088208,0.191483998
0.106444674,0.07123395,0.029340416,0.027785715,0.168294526,0.198183165,0.084013167,0.170255621,0.144448767
0.240030974,0.121048934,0.051352511,0.205175818,0.001345185,0.065002997,0.09908973,0.03891624,0.17803761
0.07513388,0.226681631,0.091780282,0.018469042,0.125350055,0.118493684,0.058929756,0.132539578,0.152622092
0.004059254,0.00129107,0.024652007,0.245814672,0.082339313,0.159378931,0.163277402,0.147186735,0.172000616
0.020130902,0.174229314,0.013979309,0.189132847,0.254164489,0.147899649,0.025288338,0.079791451,0.095383702
0.109244498,0.136953995,0.096318558,0.135666619,0.048682932,0.08159199,0.149065124,0.138897175,0.103579107
0.08276766,0.097845394,0.033768179,0.08749248,0.208515601,0.132117806,0.168238448,0.002358371,0.186896062
0.117583462,0.180619844,0.172338656,0.059785513,0.059696454,0.061533171,0.143018588,0.049144597,0.156279715
0.178652737,0.105056409,0.150060127,0.06660577,0.029808248,0.138117734,0.087828503,0.116905349,0.126965123
0.157625387,0.013684215,0.059456121,0.068986544,0.064673062,0.040096388,0.250511771,0.256033757,0.088932755
0.025134314,0.066190409,0.161970588,0.112256895,0.16763294,0.162290425,0.104052845,0.088496277,0.111975307
0.148557128,0.160696829,0.145386436,0.043761046,0.015730711,0.125212233,0.128720634,0.114018198,0.117916785
0.100968638,0.03766246,0.17240862,0.177723444,0.135390276,0.113961982,0.160977365,0.099093086,0.001814129
0.126592012,0.036443303,0.13226254,0.15244302,0.146641279,0.2016057,0.116938551,0.073760912,0.013312683
0.102348356,0.093176286,0.213397509,0.035763044,0.013098731,0.19458636,0.130830919,0.138287889,0.078510905
0.139242195,0.112685726,0.002500672,0.168638534,0.042096916,0.211707112,0.17237254,0.06686818,0.083888126
0.149011992,0.15841738,0.139522705,0.16364598,0.107541207,0.084820688,0.07906333,0.093759542,0.024217176
0.108713588,0.074409343,0.102264818,0.006900908,0.160444803,0.02995133,0.140040021,0.172357415,0.204917775
0.101241232,0.0700425,0.058744103,0.00011793,0.170013074,0.101285157,0.214393339,0.129234203,0.154928462
0.171467428,0.159081377,0.162869149,0.118373414,0.002018493,0.036371795,0.110187923,0.090030194,0.149600227
0.055880741,0.160620448,0.073751133,0.034654969,0.086582614,0.14552372,0.21156529,0.141889938,0.089531147
0.195589887,0.224737396,0.10846149,0.105338306,0.095057134,0.054737352,0.046976174,0.05643221,0.112670051
0.189015517,0.116198537,0.088018059,0.042003304,0.230983441,0.036726755,0.106042304,0.023747049,0.167265033
0.009212995,0.080267584,0.136183013,0.106982691,0.146700118,0.147743571,0.007574118,0.218752439,0.146583474
0.003538901,0.143963324,0.227161087,0.135815441,0.017216405,0.037947326,0.22087954,0.014910358,0.19856762
0.104590129,0.1131218,0.196070131,0.03236743,0.12002275,0.194741728,0.173903602,0.057068175,0.008114254
0.023409354,0.126905112,0.054831497,0.180401463,0.062490936,0.145524465,0.15968369,0.113285136,0.133468346
0.062274658,0.017820151,0.088102605,0.039106566,0.222554722,0.219641929,0.062285,0.132552681,0.155661687
0.225214065,0.137040834,0.147135894,0.072089348,0.073881198,0.011233489,0.022501679,0.051531955,0.259371539
0.100098735,0.231360131,0.103911833,0.101267026,0.096409147,0.09482748,0.081385419,0.117116072,0.073624157
0.072413283,0.091293262,0.110885675,0.05746277,0.153248968,0.130491389,0.130961229,0.116963317,0.136280106
0.121520222,0.133329638,0.113114347,0.21455669,0.135080024,0.028211631,0.030989242,0.211444315,0.01175389
0.066612886,0.022823774,0.163665272,0.128964483,0.169784169,0.114779594,0.095045006,0.12267543,0.115649388
0.011043798,0.120330592,0.163130719,0.089338196,0.107878603,0.132583645,0.172518644,0.160594281,0.042581522
0.134097519,0.121506327,0.109582258,0.04099285,0.089966888,0.081347059,0.129855654,0.190199049,0.102452396
0.162606811,0.131998866,0.042702083,0.075685916,0.155114348,0.063171381,0.160568849,0.186290592,0.021861153
0.039701554,0.005229327,0.199812238,0.140145486,0.124953542,0.046035891,0.120830384,0.116510886,0.20678069
0.074700031,0.181278816,0.102719466,0.064905771,0.147949097,0.057888753,0.160673461,0.156316807,0.053567798
0.214745528,0.089173002,0.020434051,0.137370986,0.068645393,0.232633831,0.135237797,0.082005515,0.019753895
0.017684217,0.141871141,0.202583781,0.053787296,0.098828001,0.121910725,0.206445259,0.012888238,0.144001342
0.109018854,0.034323846,0.198966887,0.154098614,0.042583791,0.139717077,0.039125304,0.123074144,0.159091484
0.058878638,0.02593786,0.04149453,0.164659678,0.158031381,0.226394769,0.209400193,0.096529317,0.018673633
0.176110075,0.103599187,0.065996602,0.023164711,0.169289346,0.136001112,0.1897221,0.07838868,0.057728187
0.061001845,0.126168521,0.040829487,0.138305933,0.099145345,0.14144529,0.118181891,0.095293657,0.179628029
0.03656072,0.075168634,0.026865049,0.158313721,0.157973853,0.033950847,0.229730361,0.068058032,0.213378782
0.001823025,0.065948189,0.20421338,0.050163299,0.003420871,0.197018085,0.127887509,0.19082974,0.158695901
0.067374855,0.181701165,0.014290664,0.162411741,0.010157759,0.193154775,0.119242138,0.116516321,0.135150582
0.193799684,0.185579609,0.013172297,0.162887144,0.05210346,0.155485628,0.087928208,0.013233072,0.135810899
0.070830951,0.148151116,0.10762966,0.006862139,0.083260336,0.085216761,0.163113609,0.208909943,0.126025486
0.093871243,0.092345027,0.019108165,0.197645863,0.061815918,0.193495171,0.120396041,0.115131682,0.10619089
0.07992061,0.146487086,0.196695138,0.046225735,0.040701817,0.199642793,0.062829776,0.052562096,0.174934948
0.009764855,0.015185921,0.239494028,0.186831868,0.198163117,0.136310295,0.141298545,0.072141074,0.000810298
0.028913571,0.166278056,0.141958537,0.135174385,0.15031877,0.115234021,0.076191441,0.04600513,0.139926089
0.113840886,0.099921385,0.112355984,0.112782103,0.057242868,0.071715046,0.133554154,0.157264467,0.141323108
0.092589613,0.162250552,0.110110455,0.044936817,0.121314019,0.075684444,0.099493036,0.107752115,0.185868948
0.102164836,0.144555724,0.145707571,0.170256686,0.004459781,0.014345055,0.203055962,0.128413983,0.087040401
0.105700221,0.18033622,0.089909701,0.102527697,0.188081416,0.034883892,0.070183786,0.124543573,0.103833494
0.226102361,0.186691954,0.134880173,0.012740123,0.092322142,0.127483246,0.096725464,0.020209081,0.102845455
0.083821106,0.105144516,0.083134254,0.034865695,0.163936895,0.182456708,0.19004202,0.018120271,0.138478534
0.191387803,0.028694909,0.139252757,0.13745344,0.135047194,0.077464438,0.027189988,0.173974515,0.089534955
0.177650867,0.174755039,0.063257504,0.118306444,0.021539314,0.088298777,0.157934722,0.121405965,0.076851369
0.056796185,0.060884516,0.086300372,0.207455364,0.077561742,0.178118535,0.121409462,0.0338632,0.177610623
0.087203353,0.021853795,0.20492198,0.073869451,0.0752662,0.121203991,0.122395813,0.172837594,0.120447823
0.041251338,0.169701982,0.091860845,0.033294989,0.120125088,0.229885661,0.087736862,0.163317672,0.062825563
0.206244864,0.186396778,0.084367612,0.163207594,0.106620276,0.075166703,0.124327588,0.01849557,0.035173015
0.031845643,0.048117609,0.164743341,0.1816295,0.134335754,0.100406519,0.120975328,0.049752125,0.16819418
0.176862055,0.088037651,0.07932327,0.077998254,0.080788962,0.129829114,0.178849117,0.14214153,0.046170048
0.180393585,0.112380846,0.060687655,0.142997196,0.176212375,0.074209684,0.032748864,0.167374948,0.052994847
0.163881223,0.218851611,0.178375192,0.089138894,0.155380196,0.063692152,0.053376942,0.045049643,0.032254148
0.206115863,0.114946627,0.097635697,0.15525274,0.049333601,0.117686694,0.036485462,0.118645377,0.103897939
0.112372637,0.032250011,0.051720636,0.159707995,0.117409528,0.051232537,0.145725029,0.189367395,0.140214233
0.132053586,0.144233326,0.122139488,0.121611204,0.079677615,0.086129954,0.070012689,0.107326218,0.13681592
0.107322699,0.039119492,0.010240722,0.20033061,0.08491505,0.115989253,0.168316347,0.076087678,0.19767815
0.150134553,0.089166888,0.006199036,0.068984777,0.184041626,0.141299258,0.049404267,0.190196171,0.120573424
0.043997023,0.202297984,0.200293033,0.161257635,0.117040628,0.062904608,0.138350215,0.035628054,0.038230819
0.126443039,0.126734024,0.01381377,0.089278427,0.138191992,0.100129204,0.115611308,0.128182837,0.161615399
0.092114227,0.112166764,0.088491788,0.108827515,0.151414583,0.166564023,0.064821663,0.16283092,0.052768517
0.0725988,0.177810841,0.054171804,0.189946953,0.144341626,0.02491557,0.104365056,0.200908928,0.030940422
0.075523593,0.030796925,0.079763581,0.05764544,0.158078911,0.160986663,0.149877201,0.118279729,0.169047957
0.015607261,0.039551498,0.162043313,0.105424347,0.159491579,0.131039399,0.05072467,0.133211719,0.202906214
0.165501909,0.053580829,0.024897404,0.221685976,0.065935164,0.172266088,0.172385281,0.030345334,0.093402014
0.150205392,0.095160848,0.161054574,0.213211957,0.003298521,0.053633798,0.045322326,0.192991898,0.085120686
0.048019747,0.09417802,0.113545801,0.045118422,0.159447651,0.132760247,0.036937811,0.179565346,0.190426956
0.18391781,0.189468993,0.17808126,0.019563947,0.14452842,0.115223379,0.106685174,0.032167192,0.030363825
0.082003296,0.006221687,0.137289654,0.177208554,0.043203854,0.166975729,0.054263119,0.141544294,0.191289812
0.09793707,0.117186226,0.058550179,0.178998926,0.055815775,0.194578872,0.067937077,0.050962701,0.178033176
0.123052886,0.11977871,0.1981348,0.163363054,0.106719147,0.08599952,0.042797413,0.046258636,0.113895834
0.191723204,0.081206254,0.15652589,0.137137255,0.019909246,0.178625196,0.169779201,0.0319487,0.033145054
0.110234701,0.128877431,0.157320858,0.057015325,0.118411238,0.075390292,0.152953043,0.118090198,0.081706915
0.121776848,0.203455202,0.08508639,0.103720147,0.014158316,0.150752556,0.089181117,0.083248731,0.148620695
0.242988377,0.102171724,0.008593985,0.006665699,0.027947796,0.262942503,0.229793575,0.116727612,0.00216873
0.098145472,0.129042497,0.102804644,0.171669884,0.203629651,0.107946963,0.054371377,0.112354359,0.020035154
0.044059934,0.223499494,0.222566893,0.057482639,0.099952411,0.096073082,0.057768658,0.070373327,0.128223564
0.040173633,0.01471007,0.163176776,0.127515502,0.127322617,0.15701714,0.044876286,0.203850526,0.121357449
0.006887494,0.124598297,0.112139409,0.180504073,0.217679028,0.065803348,0.062343535,0.192516466,0.03752835
0.000619909,0.214386593,0.01353838,0.076328505,0.009850966,0.126985808,0.227657749,0.15640562,0.17422647
0.004926057,0.170585809,0.108462669,0.063278738,0.059448533,0.229130535,0.143780026,0.193474833,0.0269128
0.11136191,0.069368586,0.029007119,0.167303231,0.145052192,0.064024352,0.191681607,0.072932788,0.149268215
0.042582259,0.084190811,0.174355814,0.158038062,0.125330166,0.061332435,0.115329237,0.073006151,0.165835064
0.06330318,0.016149237,0.147078428,0.14183041,0.138549785,0.243188914,0.030527181,0.190795128,0.028577736
0.040335461,0.144496476,0.016913541,0.100786107,0.247206326,0.212854776,0.034830833,0.044630255,0.157946225
0.015742919,0.001627466,0.09265815,0.184430118,0.151425426,0.202499807,0.140156329,0.111096363,0.100363423
0.029328413,0.062650828,0.162920841,0.106813593,0.143656137,0.104587187,0.192112519,0.182474183,0.015456299
0.145174524,0.079360737,0.018751389,0.025077786,0.099024987,0.064442614,0.246011186,0.131867545,0.19028923
0.098136442,0.054842541,0.132033748,0.158273374,0.062366402,0.073843208,0.177520063,0.078482442,0.164501779
0.194810136,0.144909297,0.132449144,0.103263578,0.198606716,0.095843025,0.074491087,0.021184821,0.034442196
0.033654328,0.001856042,0.191388555,0.00671677,0.215863278,0.264334857,0.208007184,0.016411448,0.061767539
0.178058678,0.085868475,0.135490463,0.160874931,0.109292899,0.078183214,0.083855043,0.038701892,0.129674405
0.173409288,0.169677089,0.082011394,0.018820917,0.093827657,0.094366481,0.159280285,0.0414518,0.167155089
0.045305996,0.244027326,0.066929325,0.139733492,0.067075782,0.100089066,0.041578929,0.125727853,0.16953223
0.209150431,0.21628069,0.221507264,0.029480336,0.026808731,0.036877383,0.098715717,0.044952034,0.116227414
0.081113913,0.178549879,0.13621115,0.104835237,0.145606167,0.017638609,0.072780441,0.012321756,0.250942849
0.133849839,0.025218102,0.194873461,0.195756302,0.207163988,0.041938047,0.127783387,0.017743247,0.055673625
0.051691171,0.194817427,0.065654838,0.05440002,0.12900518,0.22012395,0.068511959,0.146149042,0.069646414
0.119262998,0.134421933,0.108293523,0.124316935,0.157734787,0.105751624,0.072272042,0.111620741,0.066325418
0.127332914,0.133473069,0.125562055,0.017148069,0.103928819,0.202561662,0.182201654,0.096048025,0.011743733
0.073608243,0.028330528,0.236649836,0.195160089,0.186306542,0.105562043,0.020346663,0.053429989,0.100606067
0.153829405,0.079264662,0.137273143,0.047168893,0.111528629,0.131074399,0.144464866,0.046021524,0.149374479
0.127086631,0.038635786,0.104921581,0.171125761,0.06299296,0.111956999,0.103925455,0.120718746,0.158636079
0.115881965,0.185788095,0.048186663,0.184813212,0.146310261,0.030216285,0.109277841,0.055786207,0.123739471
0.121315186,0.075357671,0.137620029,0.111417582,0.047357049,0.097179823,0.159190342,0.140816292,0.109746026
